,name,rtg,team,dep,week,att,yds,td,tgts,rec,rec yds,rec td,opponent
141,Jordan Wilkins,73,IND,3.0,2,9.0,40.0,0,0.0,0.0,0.0,0,MIN
142,Zack Moss,68,BUF,2.0,2,8.0,37.0,0,0.0,0.0,0.0,0,MIA
143,Kalen Ballage,67,NYJ,4.0,2,1.0,5.0,0,2.0,2.0,12.0,0,SF
144,Tarik Cohen,81,CHI,2.0,2,5.0,12.0,0,1.0,1.0,15.0,0,NYG
145,Saquon Barkley,88,NYG,1.0,2,4.0,28.0,0,0.0,0.0,0.0,0,CHI
146,Alexander Mattison,73,MIN,2.0,2,3.0,13.0,0,2.0,1.0,3.0,0,IND
147,Darrel Williams,67,KC,3.0,2,0.0,0.0,0,1.0,1.0,12.0,0,LAC
148,Travis Homer,67,SEA,3.0,2,3.0,21.0,0,0.0,0.0,0.0,0,NE
149,Darwin Thompson,67,KC,4.0,2,4.0,21.0,0,1.0,0.0,0.0,0,LAC
150,Ito Smith,80,ATL,3.0,2,5.0,20.0,0,0.0,0.0,0.0,0,DAL
151,Royce Freeman,75,DEN,2.0,2,3.0,20.0,0,0.0,0.0,0.0,0,PIT
152,Sony Michel,82,NE,1.0,2,7.0,19.0,0,1.0,0.0,0.0,0,SEA
153,Tony Pollard,79,DAL,2.0,2,2.0,6.0,0,1.0,1.0,3.0,0,ATL
154,Lamical Perine,67,NYJ,3.0,2,3.0,17.0,0,0.0,0.0,0.0,0,SF
155,A.J. Dillon,70,GB,3.0,2,5.0,17.0,0,0.0,0.0,0.0,0,DET
156,Devontae Booker,71,LV,2.0,2,3.0,-1.0,0,1.0,1.0,6.0,0,NO
157,Jaylen Samuels,72,PIT,2.0,2,0.0,0.0,0,2.0,1.0,4.0,0,LAR
158,Nyheim Hines,82,IND,2.0,2,0.0,0.0,0,1.0,1.0,4.0,0,MIN
159,Tyler Ervin,70,GB,3.0,2,0.0,0.0,0,1.0,1.0,4.0,0,DET
160,Cam Akers,77,LAR,1.0,2,3.0,13.0,0,0.0,0.0,0.0,0,PHI
161,Ryan Nall,67,CHI,2.0,2,0.0,0.0,0,1.0,1.0,2.0,0,NYG
162,Senorise Perry,67,TEN,5.0,2,2.0,9.0,0,0.0,0.0,0.0,0,JAX
163,Jeremy McNichols,69,TEN,2.0,2,2.0,7.0,0,0.0,0.0,0.0,0,JAX
164,Jeffery Wilson,67,SF,4.0,2,2.0,3.0,0,0.0,0.0,0.0,0,NYJ
165,Peyton Barber,73,WAS,1.0,2,1.0,1.0,0,0.0,0.0,0.0,0,ARI
166,Alvin Kamara,92,NO,1.0,3,6.0,58.0,0,14.0,13.0,139.0,2,GB
167,Rex Burkhead,78,NE,4.0,3,6.0,49.0,2,10.0,7.0,49.0,1,LV
168,Austin Ekeler,86,LAC,1.0,3,12.0,59.0,1,11.0,11.0,84.0,0,CAR
169,James Robinson,81,JAX,1.0,3,11.0,46.0,2,6.0,6.0,83.0,0,MIA
170,Derrick Henry,93,TEN,1.0,3,26.0,119.0,2,3.0,2.0,11.0,0,MIN
171,Dalvin Cook,97,MIN,1.0,3,22.0,181.0,1,5.0,2.0,18.0,0,TEN
172,James Conner,80,PIT,1.0,3,18.0,109.0,1,5.0,4.0,40.0,0,HOU
173,Nick Chubb,95,CLE,1.0,3,19.0,108.0,2,1.0,1.0,2.0,0,WAS
174,Mike Davis,78,CAR,1.0,3,13.0,46.0,0,9.0,8.0,45.0,1,LAC
175,Jeffery Wilson,67,SF,4.0,3,12.0,15.0,1,3.0,3.0,54.0,1,NYG
