NAME,RTG,TEAM,DEP,WEEK,ATT,YDS,TD,TGTS,REC,REC YDS,REC TD
Mike Davis,78,CAR,1,10,7,32,0,5,4,12,0
Gus Edwards,81,BAL,2,10,7,42,0,2,1,31,0
James Conner,80,PIT,1,10,13,36,0,2,2,12,0
Corey Clement,76,PHI,3,10,1,5,1,0,0,0,0
Samaje Perine,69,CIN,2,10,7,48,0,1,1,7,0
Latavius Murray,82,NO,2,10,9,57,0,0,0,0,0
Jonathan Taylor,81,IND,1,10,7,12,0,2,2,25,0
Jerick McKinnon,75,SF,3,10,18,33,0,3,1,13,0
Duke Johnson,74,HOU,2,10,14,54,0,1,0,0,0
DeeJay Dallas,67,SEA,4,10,2,8,0,3,2,23,0
Leonard Fournette,81,TB,1,10,8,19,0,3,2,11,0
Travis Homer,67,SEA,3,10,0,0,0,3,3,19,0
Mark Ingram,79,BAL,1,10,5,5,0,2,2,24,0
Melvin Gordon,83,DEN,1,10,11,46,0,2,0,0,0
Royce Freeman,75,DEN,2,10,2,11,0,2,2,15,0
Jeremy McNichols,69,TEN,2,10,3,26,0,1,1,8,0
Adrian Peterson,76,DET,1,10,4,21,0,1,1,9,0
Cam Akers,77,LAR,1,10,10,38,0,0,0,0,0
Dion Lewis,76,NYG,2,10,0,0,0,2,2,17,0
Alfred Morris,74,NYG,3,10,8,34,0,0,0,0,0
Jordan Wilkins,73,IND,3,10,8,28,0,1,0,0,0
James White,81,NE,1,10,0,0,0,2,2,8,0
Ryan Nall,67,CHI,2,10,1,0,0,2,1,18,0
Zack Moss,68,BUF,2,10,7,20,0,2,1,-3,0
Peyton Barber,73,WAS,1,10,2,7,0,1,1,7,0
J.K. Dobbins,77,BAL,1,10,5,13,0,2,1,1,0
Khari Blasingame,67,TEN,3,10,0,0,0,1,1,13,0
Trayveon Williams,67,CIN,3,10,5,22,0,0,0,0,0
Joshua Kelley,67,LAC,3,10,7,21,0,0,0,0,0
Devin Singletary,79,BUF,1,10,4,15,0,5,1,-5,0
Patrick Laird,67,MIA,5,10,2,19,0,0,0,0,0
Dare Ogunbowale,67,JAX,2,10,0,0,0,2,1,5,0
Tyler Ervin,70,GB,3,10,1,0,0,1,1,3,0
CJ Prosise,69,HOU,3,10,0,0,0,1,1,-2,0
Alexander Mattison,73,MIN,2,10,2,4,0,0,0,0,0
Kerryon Johnson,76,DET,2,10,1,3,0,0,0,0,0
Deandre Washington,70,KC,4,10,2,2,0,0,0,0,0
Phillip Lindsay,82,DEN,1,10,4,2,0,1,0,0,0
Dalvin Cook,97,MIN,1,11,27,115,1,5,5,45,0
Clyde Edwards-Helaire,83,KC,1,11,14,69,2,2,1,8,0
Derrick Henry,93,TEN,1,11,28,133,1,2,1,-1,0
Ezekiel Elliott,88,DAL,1,11,21,103,0,2,2,11,1
J.K. Dobbins,77,BAL,1,11,15,70,1,2,2,15,0
Melvin Gordon,83,DEN,1,11,15,84,2,0,0,0,0
Carlos Hyde,79,SEA,2,11,14,79,1,3,2,16,0
Antonio Gibson,76,WAS,3,11,16,94,1,2,1,10,0
Aaron Jones,88,GB,1,11,10,41,1,4,4,30,0
Kenyan Drake,81,ARI,1,11,11,29,1,5,4,31,0
Mike Davis,78,CAR,1,11,19,64,1,2,2,15,0
Jonathan Taylor,81,IND,1,11,22,90,0,4,4,24,0
Frank Gore,79,NYJ,1,11,15,61,1,2,2,10,0
Chase Edmonds,79,ARI,2,11,2,13,0,4,4,36,1
James White,81,NE,1,11,5,19,0,9,6,64,0
