,name,rtg,team,dep,week,tgts,rec,rec yds,rec td,att,yds,td,opponent
200,Darren Fells,73,HOU,1.0,4,2,2,21,0,0,0,0,MIN
201,Jesse James,74,DET,2.0,4,2,1,31,0,0,0,0,NO
202,Ryan Griffin,74,NYJ,3.0,4,3,3,10,0,0,0,0,DEN
203,Rob Gronkowski,87,TB,1.0,4,3,1,29,0,0,0,0,LAC
204,James O'Shaughnessy,74,JAX,1.0,4,2,1,26,0,0,0,0,CIN
205,Dawson Knox,75,BUF,1.0,4,3,2,16,0,0,0,0,LV
206,Trey Burton,77,IND,2.0,4,5,2,16,0,0,0,0,CHI
207,Will Dissly,77,SEA,1.0,4,2,2,15,0,0,0,0,MIA
208,Cethan Carter,67,CIN,2.0,4,1,1,24,0,0,0,0,JAX
209,Chris Manhertz,70,CAR,2.0,4,1,1,17,0,0,0,0,ARI
210,Mike Gesicki,84,MIA,2.0,4,3,1,15,0,0,0,0,SEA
211,Tyler Kroft,76,BUF,2.0,4,3,1,12,0,0,0,0,LV
212,Jack Doyle,79,IND,1.0,4,1,1,12,0,0,0,0,CHI
213,Chris Herndon IV,77,NYJ,1.0,4,3,1,11,0,0,0,0,DEN
214,Kaden Smith,67,NYG,3.0,4,1,1,10,0,0,0,0,LAR
215,Nick Boyle,83,BAL,2.0,4,1,1,9,0,0,0,0,WAS
216,Logan Thomas,80,WAS,1.0,4,4,1,8,0,0,0,0,BAL
217,Foster Moreau,74,LV,3.0,4,1,1,8,0,0,0,0,BUF
218,Josh Hill,81,NO,1.0,4,1,1,7,0,0,0,0,DET
219,Nick Vannett,71,DEN,2.0,4,2,1,7,0,0,0,0,NYJ
220,Demetrius Harris,73,CHI,3.0,4,2,1,6,0,0,0,0,IND
221,Johnny Mundt,67,LAR,3.0,4,1,1,5,0,0,0,0,NYG
222,Deon Yelder,67,KC,4.0,4,1,1,5,0,0,0,0,NE
223,Stephen Carlson,67,CLE,2.0,4,0,0,0,0,0,0,0,DAL
224,Travis Kelce,96,KC,1.0,5,12,8,108,1,0,0,0,LV
225,Mark Andrews,86,BAL,1.0,5,9,6,56,1,0,0,0,CIN
226,Darren Waller,93,LV,1.0,5,7,5,48,1,0,0,0,KC
227,Mike Gesicki,84,MIA,2.0,5,6,5,91,0,0,0,0,SF
228,Darren Fells,73,HOU,1.0,5,2,2,57,1,0,0,0,JAX
229,Jared Cook,89,NO,1.0,5,3,2,52,1,0,0,0,LAC
230,Gerald Everett,75,LAR,2.0,5,4,4,90,0,0,0,0,WAS
231,Hunter Henry,85,LAC,1.0,5,8,4,23,1,0,0,0,NO
232,Jimmy Graham,78,CHI,2.0,5,5,3,33,1,0,0,0,TB
233,Austin Hooper,87,CLE,1.0,5,10,5,57,0,0,0,0,IND
234,Irv Smith Jr.,77,MIN,1.0,5,5,4,64,0,0,0,0,SEA
235,Evan Engram,83,NYG,1.0,5,2,1,16,0,2,9,1,DAL
236,Cameron Brate,76,TB,1.0,5,6,5,44,0,0,0,0,CHI
237,Will Dissly,77,SEA,1.0,5,1,1,19,1,0,0,0,MIN
238,George Kittle,99,SF,1.0,5,8,4,44,0,0,0,0,MIA
239,Trey Burton,77,IND,2.0,5,6,5,33,0,0,0,0,CLE
240,Rob Gronkowski,87,TB,1.0,5,6,3,52,0,0,0,0,CHI
241,Eric Ebron,85,PIT,1.0,5,6,5,43,0,0,0,0,PHI
242,Adam Shaheen,74,MIA,3.0,5,1,1,3,1,0,0,0,SF
243,Darrell Daniels,67,ARI,3.0,5,2,2,37,0,0,0,0,NYJ
244,James O'Shaughnessy,74,JAX,1.0,5,3,3,20,0,0,0,0,HOU
245,Tyler Eifert,77,JAX,2.0,5,7,3,16,0,0,0,0,HOU
246,Chris Herndon IV,77,NYJ,1.0,5,3,2,24,0,0,0,0,ARI
247,Drew Sample,70,CIN,1.0,5,2,2,22,0,0,0,0,BAL
248,Tyler Higbee,82,LAR,1.0,5,2,2,12,0,0,0,0,WAS
249,Greg Olsen,77,SEA,1.0,5,1,1,20,0,0,0,0,MIN
250,Hayden Hurst,77,ATL,1.0,5,6,2,8,0,0,0,0,CAR
251,Richard Rodgers,71,PHI,3.0,5,1,1,18,0,0,0,0,PIT
252,Jason Witten,80,LV,1.0,5,2,2,6,0,0,0,0,KC
253,Virgil Green,71,LAC,2.0,5,1,1,14,0,0,0,0,NO
254,Blake Bell,69,DAL,2.0,5,1,1,13,0,0,0,0,NYG
255,Kyle Rudolph,80,MIN,1.0,5,2,1,10,0,0,0,0,SEA
256,Temarrick Hemingway,67,WAS,3.0,5,1,1,10,0,0,0,0,LAR
257,Tanner Hudson,68,TB,2.0,5,4,1,9,0,0,0,0,CHI
258,Demetrius Harris,73,CHI,3.0,5,1,1,9,0,0,0,0,TB
259,Jaeden Graham,67,ATL,3.0,5,1,1,7,0,0,0,0,CAR
260,Kaden Smith,67,NYG,3.0,5,1,1,7,0,0,0,0,DAL
261,Dalton Schultz,73,DAL,1.0,5,3,1,6,0,0,0,0,NYG
262,Zach Ertz,81,PHI,1.0,5,6,1,6,0,0,0,0,PIT
263,David Njoku,81,CLE,1.0,5,1,1,6,0,0,0,0,IND
264,Trevon Wesco,71,NYJ,4.0,5,1,1,5,0,1,0,0,ARI
265,Vance McDonald,77,PIT,2.0,5,1,1,4,0,0,0,0,PHI
266,Pharaoh Brown,67,HOU,2.0,5,1,1,4,0,0,0,0,JAX
267,Logan Thomas,80,WAS,1.0,5,4,1,4,0,0,0,0,LAR
268,Nick Boyle,83,BAL,2.0,5,2,1,2,0,0,0,0,CIN
269,Luke Stocker,74,ATL,2.0,5,1,1,2,0,0,0,0,CAR
270,Josh Hill,81,NO,1.0,5,1,1,1,0,0,0,0,LAC
271,Anthony Firkser,70,TEN,3.0,6,9,8,113,1,0,0,0,HOU
272,George Kittle,99,SF,1.0,6,10,7,109,1,0,0,0,LAR
273,Trey Burton,77,IND,2.0,6,5,4,58,1,1,1,1,CIN
274,Travis Kelce,96,KC,1.0,6,7,5,65,2,0,0,0,BUF
275,Darren Fells,73,HOU,1.0,6,7,6,85,1,0,0,0,TEN
276,Rob Gronkowski,87,TB,1.0,6,8,5,78,1,0,0,0,GB
277,Hayden Hurst,77,ATL,1.0,6,4,4,57,1,0,0,0,MIN
278,Adam Shaheen,74,MIA,3.0,6,3,3,51,1,0,0,0,NYJ
279,Logan Thomas,80,WAS,1.0,6,4,3,42,1,0,0,0,NYG
280,Nick Boyle,83,BAL,2.0,6,3,3,33,1,0,0,0,PHI
281,Irv Smith Jr.,77,MIN,1.0,6,5,4,55,0,0,0,0,ATL
282,Austin Hooper,87,CLE,1.0,6,6,5,52,0,0,0,0,PIT
283,Cole Kmet,73,CHI,1.0,6,2,2,20,1,0,0,0,CAR
284,Jack Doyle,79,IND,1.0,6,3,3,29,1,0,0,0,CIN
285,T.J. Hockenson,81,DET,1.0,6,5,2,17,1,0,0,0,JAX
286,Tyler Higbee,82,LAR,1.0,6,4,3,56,0,0,0,0,SF
287,Jimmy Graham,78,CHI,2.0,6,8,5,34,0,0,0,0,CAR
288,Kyle Rudolph,80,MIN,1.0,6,4,3,47,0,0,0,0,ATL
289,Dalton Schultz,73,DAL,1.0,6,5,4,35,0,0,0,0,ARI
290,Durham Smythe,69,MIA,1.0,6,2,1,4,1,0,0,0,NYJ
291,Zach Ertz,81,PHI,1.0,6,10,4,33,0,0,0,0,BAL
292,Jason Croom,75,PHI,5.0,6,1,1,3,1,0,0,0,BAL
293,Albert Okwuegbunam,69,DEN,2.0,6,6,2,45,0,0,0,0,NE
294,Richard Rodgers,71,PHI,3.0,6,3,3,31,0,0,0,0,BAL
295,Gerald Everett,75,LAR,2.0,6,4,3,27,0,0,0,0,SF
296,Robert Tonyan Jr.,79,GB,1.0,6,4,3,25,0,0,0,0,TB
297,Evan Engram,83,NYG,1.0,6,3,2,30,0,0,0,0,WAS
298,Pharaoh Brown,67,HOU,2.0,6,2,2,28,0,0,0,0,TEN
299,Ryan Izzo,67,NE,1.0,6,3,3,38,0,0,0,0,DEN
300,Kaden Smith,67,NYG,3.0,6,3,3,15,0,0,0,0,WAS
301,Mark Andrews,86,BAL,1.0,6,4,2,21,0,0,0,0,PHI
302,Ryan Griffin,74,NYJ,3.0,6,3,2,17,0,0,0,0,MIA
303,Geoff Swaim,71,TEN,4.0,6,3,2,10,0,0,0,0,HOU
304,Eric Ebron,85,PIT,1.0,6,4,2,9,0,0,0,0,CLE
305,Jonnu Smith,82,TEN,1.0,6,2,1,13,0,0,0,0,HOU
306,Harrison Bryant,67,CLE,2.0,6,2,1,11,0,0,0,0,PIT
307,Ian Thomas,75,CAR,1.0,6,1,1,9,0,0,0,0,CHI
308,David Njoku,81,CLE,1.0,6,3,1,7,0,0,0,0,PIT
309,Tyler Kroft,76,BUF,2.0,6,2,1,7,0,0,0,0,KC
310,Nick Vannett,71,DEN,2.0,6,1,1,7,0,0,0,0,NE
311,Chris Manhertz,70,CAR,2.0,6,2,1,6,0,0,0,0,CHI
312,Cameron Brate,76,TB,1.0,6,1,1,3,0,0,0,0,GB
313,Jesse James,74,DET,2.0,6,2,1,3,0,0,0,0,JAX
314,Nick Keizer,67,KC,2.0,6,1,1,2,0,0,0,0,BUF
315,Darrell Daniels,67,ARI,3.0,6,1,1,1,0,0,0,0,DAL
316,Harrison Bryant,67,CLE,2.0,7,5,4,56,2,0,0,0,CIN
317,Rob Gronkowski,87,TB,1.0,7,8,5,62,1,0,0,0,LV
318,Darren Waller,93,LV,1.0,7,9,6,50,1,0,0,0,TB
319,T.J. Hockenson,81,DET,1.0,7,6,5,59,1,0,0,0,ATL
320,Logan Thomas,80,WAS,1.0,7,4,4,60,1,0,0,0,DAL
321,Richard Rodgers,71,PHI,3.0,7,8,6,85,0,0,0,0,NYG
322,Albert Okwuegbunam,69,DEN,2.0,7,7,7,60,0,0,0,0,KC
323,Hayden Hurst,77,ATL,1.0,7,7,6,68,0,0,0,0,DET
324,Gerald Everett,75,LAR,2.0,7,5,4,28,1,0,0,0,CHI
325,Jared Cook,89,NO,1.0,7,4,3,32,1,0,0,0,CAR
326,Eric Ebron,85,PIT,1.0,7,8,6,50,0,0,0,0,TEN
327,Evan Engram,83,NYG,1.0,7,9,6,46,0,2,3,0,PHI
328,George Kittle,99,SF,1.0,7,7,5,55,0,0,0,0,NE
329,Tyler Kroft,76,BUF,2.0,7,4,4,64,0,0,0,0,NYJ
330,Drew Sample,70,CIN,1.0,7,6,5,52,0,0,0,0,CLE
331,David Njoku,81,CLE,1.0,7,3,2,20,1,0,0,0,CIN
332,Virgil Green,71,LAC,2.0,7,2,1,26,1,0,0,0,JAX
333,Donald Parham,67,LAC,3.0,7,1,1,22,1,0,0,0,JAX
334,Jimmy Graham,78,CHI,2.0,7,6,5,31,0,0,0,0,LAR
335,Dan Arnold,67,ARI,1.0,7,3,2,57,0,0,0,0,SEA
336,Johnny Mundt,67,LAR,3.0,7,3,3,47,0,0,0,0,CHI
337,Jace Sternberger,73,GB,2.0,7,1,1,3,1,0,0,0,HOU
338,Noah Fant,85,DEN,1.0,7,7,3,38,0,0,0,0,KC
