,Player Name,Team,Position,College
466,Brandon Copeland,New England,LB,Pennsylvania
467,Marquise Copeland,LA Rams,DT,Cincinnati
468,Austin Corbett,LA Rams,OG,Nevada
469,Cody Core,NY Giants,WR,Mississippi
470,Jashon Cornell,Detroit,DT,Ohio State
471,Kamalei Correa,Jacksonville,LB,Boise State
472,Doug Costin,Jacksonville,DT,Miami (OH)
473,Jeff Cotton,LA Chargers,WR,Idaho
474,Nate Cottrell,Jacksonville,RB,Georgia Tech
475,Carter Coughlin,NY Giants,LB,Minnesota
476,Isaiah Coulter,Houston,WR,Rhode Island
477,Blake Countess,Philadelphia,DB,Auburn
478,Kirk Cousins,Minnesota,QB,Michigan State
479,Keke Coutee,Houston,WR,Texas Tech
480,Christian Covington,Cincinnati,DT,Rice
481,Rashaad Coward,Chicago,OG,Old Dominion
482,Byron Cowart,New England,DT,Maryland
483,Bryan Cox,Buffalo,DE,Florida
484,Fletcher Cox,Philadelphia,DT,Mississippi State
485,Jeremy Cox,Denver,RB,Old Dominion
486,Morgan Cox,Baltimore,LS,Tennessee
487,Anthony Coyle,Pittsburgh,OG,Fordham
488,River Cracraft,San Francisco,WR,Washington State
489,Aaron Crawford,Baltimore,DT,North Carolina
490,Jack Crawford,Tennessee,DE,Penn State
491,Tyrone Crawford,Dallas,DE,Boise State
492,Xavier Crawford,Chicago,DB,Central Michigan
493,Ken Crawley,New Orleans,DB,Colorado
494,Damarea Crockett,Denver,RB,Missouri
495,Jason Croom,Philadelphia,TE,Tennessee
496,Mason Crosby,Green Bay,K,Colorado
497,Maxx Crosby,Las Vegas,DE,Eastern Michigan
498,Tyrell Crosby,Detroit,OT,Oregon
499,Keion Crossen,Houston,DB,Western Carolina
500,Jamison Crowder,NY Jets,WR,Duke
501,Tae Crowder,NY Giants,LB,Georgia
502,Dane Cruikshank,Tennessee,DB,Arizona
503,Sean Culkin,Baltimore,TE,Missouri
504,Korey Cunningham,New England,OT,Cincinnati
505,Zach Cunningham,Houston,LB,Vanderbilt
506,Kamren Curl,Washington,DB,Arkansas
507,Vinny Curry,Philadelphia,DE,Marshall
508,Lloyd Cushenberry,Denver,C,Louisiana State
509,Joe Dahl,Detroit,OG,Washington State
510,Dennis Daley,Carolina,OT,South Carolina
511,DeeJay Dallas,Seattle,RB,Miami
512,Andy Dalton,Dallas,QB,Texas Christian
513,Jalen Dalton,New Orleans,DT,North Carolina
514,Jordan Dangerfield,Pittsburgh,DB,Towson
515,Chase Daniel,Detroit,QB,Missouri
516,Trevor Daniel,Tennessee,P,Tennessee
517,Darrell Daniels,Arizona,TE,Washington
518,Darrion Daniels,San Francisco,DT,Nebraska
519,James Daniels,Chicago,OG,Iowa
520,Mike Daniels,Cincinnati,DT,Iowa
521,Mike Danna,Kansas City,DE,Michigan
522,Cameron Dantzler,Minnesota,DB,Mississippi State
523,Amara Darboh,Carolina,WR,Michigan
524,Ronald Darby,Washington,DB,Florida State
525,Sam Darnold,NY Jets,QB,Southern California
526,Julie'n Davenport,Miami,OT,Bucknell
527,Marcus Davenport,New Orleans,DE,Texas-San Antonio
528,Lavonte David,Tampa Bay,LB,Nebraska
529,Marlon Davidson,Atlanta,DT,Auburn
530,Akeem Davis,Cincinnati,LB,Appalachian State
531,Ashtyn Davis,NY Jets,DB,California
532,Carl Davis,New England,DE,Iowa
533,Carlos Davis,Pittsburgh,DT,Nebraska
534,Carlton Davis,Tampa Bay,DB,Auburn
535,Cody Davis,New England,DB,Texas Tech
536,Connor Davis,NY Jets,TE,Stony Brook
537,Corey Davis,Tennessee,WR,Western Michigan
538,Demario Davis,New Orleans,LB,Arkansas State
539,Gabriel Davis,Buffalo,WR,Central Florida
540,Jalen Davis,Cincinnati,DB,Utah State
541,Jarrad Davis,Detroit,LB,Florida
542,Javaris Davis,Miami,DB,Auburn
543,Jesse Davis,Miami,OT,Idaho
544,Khalil Davis,Tampa Bay,DT,Nebraska
545,Michael Davis,LA Chargers,DB,Brigham Young
546,Mike Davis,Carolina,RB,South Carolina
547,Nate Davis,Tennessee,OG,North Carolina-Charlotte
548,Raekwon Davis,Miami,DT,Alabama
549,Reggie Davis,Chicago,WR,Georgia
550,Sean Davis,Pittsburgh,DB,Maryland
551,Tae Davis,Cleveland,LB,Tennessee-Chattanooga
552,Thomas Davis,Washington,LB,Georgia
553,Todd Davis,Minnesota,LB,Sacramento State
554,Trevor Davis,Washington,WR,California
555,Tyler Davis,Jacksonville,TE,Georgia Tech
