,name,rtg,team,dep,week,tgts,rec,rec yds,rec td,att,yds,td,opponent
228,Ashton Dulin,67,IND,6.0,2,1,1,6,0,0,0,0,MIN
229,Daesean Hamilton,68,DEN,4.0,2,3,1,5,0,0,0,0,PIT
230,Greg Ward,67,PHI,2.0,2,1,1,5,0,0,0,0,LAR
231,Henry Ruggs III,75,LV,1.0,2,3,1,4,0,0,0,0,NO
232,Joe Reed,67,LAC,3.0,2,0,0,0,0,1,8,0,KC
233,Antonio Gandy-Golden,67,WAS,3.0,2,1,1,3,0,0,0,0,ARI
234,Parris Campbell,74,IND,2.0,2,0,0,0,0,1,7,0,MIN
235,Jakeem Grant,75,MIA,3.0,2,1,1,2,0,0,0,0,BUF
236,Jamal Agnew,68,DET,2.0,2,1,1,0,0,0,0,0,GB
237,Lynn Bowden,67,MIA,3.0,2,1,1,-1,0,0,0,0,BUF
238,Keke Coutee,73,HOU,5.0,2,2,2,11,0,0,0,0,BAL
239,Tyler Lockett,87,SEA,1.0,3,13,9,100,3,0,0,0,DAL
240,Justin Jefferson,84,MIN,1.0,3,9,7,175,1,0,0,0,TEN
241,Keenan Allen,92,LAC,1.0,3,19,13,132,1,0,0,0,CAR
242,Allen Robinson,87,CHI,1.0,3,13,10,123,1,0,0,0,ATL
243,Cedrick Wilson,72,DAL,2.0,3,7,5,107,2,0,0,0,SEA
244,Allen Lazard,67,GB,1.0,3,8,6,146,1,1,-2,0,NO
245,Michael Gallup,79,DAL,1.0,3,9,6,138,1,0,0,0,SEA
246,Cooper Kupp,88,LAR,1.0,3,10,9,107,1,0,0,0,BUF
247,DeAndre Hopkins,99,ARI,1.0,3,12,10,137,0,0,0,0,DET
248,Tyler Boyd,86,CIN,1.0,3,13,10,125,0,0,0,0,PHI
249,Robert Woods,88,LAR,1.0,3,6,5,74,1,3,30,0,BUF
250,Tyreek Hill,96,KC,1.0,3,6,5,77,1,2,25,0,BAL
251,Brandon Aiyuk,70,SF,1.0,3,8,5,70,0,3,31,1,NYG
252,Tee Higgins,76,CIN,1.0,3,9,5,40,2,0,0,0,PHI
253,Greg Ward,72,PHI,,3,11,8,72,1,1,-6,0,CIN
254,Hunter Renfrow,77,LV,1.0,3,9,6,84,1,0,0,0,NE
255,Andy Isabella,69,ARI,2.0,3,4,4,47,2,1,-6,0,DET
256,Randall Cobb,80,HOU,3.0,3,4,4,95,1,0,0,0,PIT
257,D.K. Metcalf,87,SEA,1.0,3,8,4,110,1,0,0,0,DAL
258,Dontrelle Inman,75,WAS,1.0,3,6,3,38,2,0,0,0,CLE
259,Mecole Hardman,79,KC,2.0,3,6,4,81,1,0,0,0,BAL
260,Kenny Golladay,82,DET,3.0,3,7,6,57,1,0,0,0,ARI
261,Amari Cooper,92,DAL,1.0,3,12,9,86,0,0,0,0,SEA
262,Chris Godwin,87,TB,1.0,3,6,5,64,1,0,0,0,DEN
263,Calvin Ridley,89,ATL,1.0,3,13,5,110,0,1,7,0,CHI
264,Braxton Berrios,72,NYJ,2.0,3,4,4,64,1,0,0,0,IND
265,JuJu Smith-Schuster,81,PIT,1.0,3,5,4,43,1,0,0,0,HOU
